"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
11;1;" Set of 2 Yoga Blocks";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;8;8;1;10.000000;0;;;;;00111;;1;6;;;0.000000;0.000000;0.000000;0.000000;0.000000;1800;1;both;0.00;;6.4;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;-set-of-2-yoga-blocks;;;1;0000-00-00;"2015-08-19 05:13:53";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/8/1/181.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/2/182.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/3/183.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/4/184.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/5/185.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/6/186.jpg;0;1::1,2:330:2,3:371:3,4:372:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:53";10.000000
12;1;"Deluxe Vinyl Dumbbells";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;12;12;1;15.000000;0;;;;;00112;;4;9;;;0.000000;0.000000;0.000000;0.000000;0.000000;1600;1;both;0.00;;9.6;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;deluxe-vinyl-dumbbells;;;1;0000-00-00;"2015-08-19 05:13:57";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/8/7/187.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/8/188.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/9/189.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/0/190.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/1/191.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/2/192.jpg;0;1::1,2:330:2,3:371:3,4:372:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:57";15.000000
13;1;"Vinyl Kettlebells";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;20;20;1;20.000000;0;;;;;00113;;5;7;;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;20;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;vinyl-kettlebells;;;1;0000-00-00;"2015-08-19 05:14:01";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/9/3/193.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/4/194.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/5/195.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/6/196.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/7/197.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/9/8/198.jpg;0;1:329:1,2::2,3:379:3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:01";20.000000
14;1;" Step Workout System";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;40;40;1;40.000000;0;;;;;00114;;1;11;;;0.000000;0.000000;0.000000;0.000000;0.000000;2400;1;both;0.00;;40;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;-step-workout-system;;;1;0000-00-00;"2015-08-19 05:14:06";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/9/9/199.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/0/200.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/1/201.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/2/202.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/3/203.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/4/204.jpg;0;1:345:1,2::2,3::3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:06";40.000000
15;1;"Fitness Exercise and Stability Ball";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;10;10;1;10.000000;0;;;;;00115;;6;8;;;0.000000;0.000000;0.000000;0.000000;0.000000;1800;1;both;0.00;;10;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;fitness-exercise-and-stability-ball;;;1;0000-00-00;"2015-08-19 05:14:11";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/0/5/205.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/6/206.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/7/207.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/8/208.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/0/9/209.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/0/210.jpg;0;1::1,2:330:2,3:391:3,4:332:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:11";10.000000
16;1;"Weider Balance Ball";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;90;90;1;90.000000;0;;;;;00116;;6;10;;;0.000000;0.000000;0.000000;0.000000;0.000000;1800;1;both;0.00;;90;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;weider-balance-ball;;;1;0000-00-00;"2015-08-19 05:14:17";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/1/1/211.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/2/212.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/3/213.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/4/214.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/5/215.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/6/216.jpg;0;1:329:1,2:358:2,3:399:3,4:372:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:17";90.000000
17;1;"Pull Up Bands";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;25;25;1;25.000000;0;;;;;00117;;7;4;;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.   </p>";;;;;pull-up-bands;;;1;0000-00-00;"2015-08-19 05:14:22";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/1/7/217.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/8/218.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/1/9/219.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/0/220.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/1/221.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/2/222.jpg;0;1::1,2::2,3:403:3,4:404:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:22";25.000000
18;1;"Wrist Wraps";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;40;40;1;40.000000;0;;;;;00118;;1;2;;;0.000000;0.000000;0.000000;0.000000;0.000000;2400;1;both;0.00;;0;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;wrist-wraps;;;1;0000-00-00;"2015-08-19 05:14:27";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/2/3/223.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/4/224.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/5/225.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/6/226.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/7/227.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/2/8/228.jpg;0;1::1,2::2,3:411:3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:27";40.000000
19;1;"Balance Pad";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;20;20;1;20.000000;0;;;;;00119;;6;3;;;0.000000;0.000000;0.000000;0.000000;0.000000;800;1;both;0.00;;20;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;balance-pad;;;1;0000-00-00;"2015-08-19 05:14:31";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/2/9/229.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/0/230.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/1/231.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/2/232.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/3/233.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/4/234.jpg;0;1:413:1,2:330:2,3:415:3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:31";20.000000
20;1;"Weighted Hula Hoop";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;37;37;1;37.000000;0;;;;;00120;;8;5;;;0.000000;0.000000;0.000000;0.000000;0.000000;2700;1;both;0.00;;37;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;weighted-hula-hoop;;;1;0000-00-00;"2015-08-19 05:14:37";1;http://192.168.9.117/Prestashop/theme1242/img/p/2/3/5/235.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/6/236.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/7/237.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/8/238.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/3/9/239.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/2/4/0/240.jpg;0;1:329:1,2::2,3:423:3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:14:37";37.000000
